Id,Name,LastPurchasedPrice,Conversion,PurchasedUnit,Category,Count,CountUnit,RecipeUnit,RecipeUnitConversion,Yield,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,72.8,6,CASE 30lb,Dairy,4,5lb BAG,OZ-wt,80,1,1,9/27/2017 12:00:00 AM,0
1,Cheddar,47.33,4,CASE 20lb,Dairy,0,5lb BAG,OZ-wt,80,1,3,9/27/2017 12:00:00 AM,0
2,Pepper Jack,45.25,4,CASE 20lb,Dairy,0,5lb BAG,OZ-wt,80,1,1,9/27/2017 12:00:00 AM,0
4,Butter,91.85,30,CASE 30lb,Dairy,2,1lb,OZ-wt,16,1,1,9/27/2017 12:00:00 AM,0
8,Eggs,16.98,6,15 DOZEN,Dairy,2.75,TRAY,EA,180,95,1,9/27/2017 12:00:00 AM,0
13,Pizza Sauce,21.4,6,6# CANS,Grocery,8,CAN,EA,6,100,1,9/27/2017 12:00:00 AM,0
14,Stewed Tomatoes,15.47,6,6# CANS,Grocery,7,CAN,EA,6,100,1,9/27/2017 12:00:00 AM,0
19,Mayonnaise,24.95,4,4 GAL,Grocery,0.5,JUG,EA,4,10000,1,9/27/2017 12:00:00 AM,0
21,Macaroni,17.72,2,20lb CASE,Grocery,4,BAG,EA,160,1,5,9/27/2017 12:00:00 AM,0
36,Olive Oil,50.8,6,6 GAL,Grocery,7.75,JUG,OZ-fl,128,99,1,9/27/2017 12:00:00 AM,0
49,Salt,5.9,1,EA,Herbs,0.3,Container,TBL,615,100,1,9/27/2017 12:00:00 AM,0
54,Yellow Onions,13.79,1,50lb,Produce,0,BAG,OZ-wt,800,85,3,9/27/2017 12:00:00 AM,0
56,Potatoes,13.88,1,50lb,Produce,0.5,1/2 CASE,OZ-wt,800,850000,1,9/27/2017 12:00:00 AM,0
57,Spinach,15.79,4,4x2.5lb,Produce,0,BAG,OZ-wt,160,99,3,9/27/2017 12:00:00 AM,0
58,Mixed Greens,5.99,1,3lb,Produce,1,BAG,OZ-wt,48,9800,2,9/27/2017 12:00:00 AM,0
59,Mushrooms,18.95,1,10lb CASE,Produce,0,FLAT,OZ-wt,160,95,4,9/27/2017 12:00:00 AM,0
61,Tomatoes,13.75,1,25lb,Produce,0.25,CASE,OZ-wt,400,97,1,9/27/2017 12:00:00 AM,0
62,Avocado,75.94,60,60 COUNT,Produce,28,EACH,EA,24,10000,1,9/27/2017 12:00:00 AM,0
64,Fresh Basil,8.99,1,1lb,Produce,1,BAG,OZ-wt,16,65,2,9/27/2017 12:00:00 AM,0
66,Pineapple,16.99,6,6 COUNT,Produce,0,EACH,OZ-wt,44,100,1,9/27/2017 12:00:00 AM,0
72,Chicken Breast,64.95,1,40lb CASE,Poultry,0,CASE,OZ-wt,640,85,4,9/27/2017 12:00:00 AM,0
74,Italian Sausage,47.95,4,20lb CASE,Meats,8,BAG,OZ-wt,160,91,2,9/27/2017 12:00:00 AM,0
75,Bacon Bits,53.99,2,10lb CASE,Meats,2,BAG,OZ-wt,160,100,3,9/27/2017 12:00:00 AM,0
97,Dried Black Beans,41.35,27.414,50lbs,Grocery,10,Quart,3.5,1,100,1,9/27/2017 12:00:00 AM,0
107,Dried Pinto Beans,28.69,14.47,25lb,Grocery,13,Quart,8,8,10000,1,9/27/2017 12:00:00 AM,0
