Id,Name,LastOrderAmount,LastPurchasedPrice,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
0,Mozzarella,1,71.95,Dairy,CASE 30lb,9,5lb BAG,6,OZ-wt,480,1,8/6/2017 12:00:00 AM,0
1,Cheddar,1,45.99,Dairy,CASE 20lb,8,5lb BAG,4,OZ-wt,320,1,8/6/2017 12:00:00 AM,0
4,Butter,1,91.85,Dairy,CASE 30lb,26,1lb,30,OZ-wt,480,1,8/6/2017 12:00:00 AM,0
25,Tomato Juice,0,15.79,Grocery,12x48oz CANS,31,CAN,12,EA,12,100,8/6/2017 12:00:00 AM,0
36,Olive Oil,1,50.8,Grocery,6 GAL,7.2,JUG,6,OZ-fl,768,99,8/6/2017 12:00:00 AM,0
54,Yellow Onions,2,14.99,Produce,50lb,0,BAG,1,OZ-wt,800,85,8/6/2017 12:00:00 AM,0
57,Spinach,1,15.79,Produce,4x2.5lb,0,BAG,4,OZ-wt,160,99,8/6/2017 12:00:00 AM,0
58,Mixed Greens,1,5.99,Produce,3lb,1,BAG,1,OZ-wt,48,9800,8/6/2017 12:00:00 AM,0
59,Mushrooms,1,18.99,Produce,10lb CASE,0,FLAT,1,OZ-wt,160,95,8/6/2017 12:00:00 AM,0
61,Tomatoes,1,14.9,Produce,25lb,0.5,CASE,1,OZ-wt,400,97,8/6/2017 12:00:00 AM,0
63,Celery,1,24.89,Produce,24 COUNT,5,1/2 CASE,24,BUNCH,12,100,8/6/2017 12:00:00 AM,0
64,Fresh Basil,1,8.99,Produce,1lb,1,BAG,1,OZ-wt,16,65,8/6/2017 12:00:00 AM,0
72,Chicken Breast,1,69.99,Poultry,40lb CASE,1,CASE,1,OZ-wt,640,85,8/6/2017 12:00:00 AM,0
74,Italian Sausage,1,47.04,Meats,20lb CASE,8,BAG,4,OZ-wt,160,91,8/6/2017 12:00:00 AM,0
75,Bacon Bits,2,53.99,Meats,10lb CASE,4,BAG,2,OZ-wt,160,100,8/6/2017 12:00:00 AM,0
